,Last Name,Ranking,Age,Turned Pro,Weight,Height,1st Serve Return Points Won,2nd Serve Return Points Won,Break Points Opportunities,Break Points Converted,Return Games Played,Return Games Won,Return Points Won,Total Points Won,Aces,Double Faults,1st Serve,1st Serve Points Won,2nd Serve Points Won,Break Points Faced,Break Points Saved,Service Games Played,Service Games Won,Total Service Points Won
87,Gulbis,187,32,2004.0,187,75,28%,48%,68,29%,111,18%,35%,45%,11,32,66%,61%,44%,89,53%,108,61%,56%
88,Torpegaard,188,26,2018.0,185,76,26%,50%,139,35%,288,17%,35%,48%,84,61,66%,65%,51%,178,58%,286,74%,60%
89,Menezes,189,24,2014.0,185,73,29%,49%,453,40%,858,21%,37%,49%,388,302,59%,70%,48%,542,59%,843,74%,61%
90,Ramanathan,190,26,2009.0,176,74,25%,56%,24,38%,59,15%,34%,49%,21,10,65%,70%,56%,27,59%,61,82%,65%
91,Broady,191,27,2014.0,172,72,25%,49%,71,39%,140,20%,35%,49%,75,40,57%,73%,52%,63,57%,139,81%,64%
92,McDonald,192,25,2016.0,160,61,27%,50%,105,42%,207,21%,36%,47%,42,75,66%,64%,48%,135,53%,210,70%,58%
93,Clarke,193,22,2016.0,181,74,24%,45%,13,46%,51,12%,31%,50%,67,48,57%,80%,50%,22,68%,51,86%,67%
94,Ito,194,32,2006.0,165,61,26%,46%,856,35%,"1,934",15%,34%,48%,781,368,59%,70%,50%,"1,163",62%,"1,908",77%,62%
95,Krueger,195,27,2012.0,180,74,20%,40%,9,0%,20,0%,29%,46%,12,2,65%,68%,46%,14,71%,20,80%,60%
96,Vukic,196,24,2018.0,187,74,28%,48%,"2,853",37%,"5,634",19%,35%,50%,"4,239","1,906",60%,75%,49%,"2,917",64%,"5,634",81%,65%
97,Haase,197,33,2005.0,170,75,30%,49%,193,41%,337,23%,38%,49%,59,42,64%,63%,51%,227,59%,333,72%,59%
98,Rosol,198,35,2004.0,182,76,26%,46%,"1,457",36%,"3,201",17%,34%,49%,"1,702",871,58%,72%,50%,"1,852",63%,"3,202",79%,63%
99,Machac,199,20,2017.0,163,72,30%,50%,234,37%,393,22%,38%,48%,105,130,66%,65%,47%,311,63%,393,71%,59%
100,Stakhovsky,200,35,2003.0,176,76,27%,47%,"2,095",36%,"4,240",18%,35%,49%,"2,245",903,62%,71%,49%,"2,325",61%,"4,240",78%,63%
